,Text,Date,Year,hashtag,Cleaned,final_sentiment
3813,Blocked By kamaalrkhan . theghantas #deservesaghanta #Christmas #mumbai #Bengaluru #MannKiBaat #cashless #DeMonetis… https://t.co/9mbJ5BJVGq,2016-12-26,2016,"['deservesaghanta', 'Christmas', 'mumbai', 'Bengaluru', 'MannKiBaat', 'cashless', 'DeMonetis']",blocked kamaalrkhan theghantas,-1
3814,"PM @narendramodi showers praises for the Men's Junior Hockey Team, winners of the #HJWC2016 in #MannKiBaat address.
https://t.co/xC1yx2i6xW",2016-12-26,2016,"['HJWC2016', 'MannKiBaat']",showers praises mens junior hockey team winners address,-1
3815,Another plot of fraud #Nation b careful @narendramodi @arunjaitley @BJP4India #MannKiBaat https://t.co/HOOWUA6uE5,2016-12-26,2016,"['Nation', 'MannKiBaat']",another plot fraud careful,-1
3816,"#MannKiBaat: 5 days to Dec 30, 2016 
PM Modi says ‘No Full Stops ’ 
in #BlackMoney Drive 
https://t.co/3hGYo2X4bZ https://t.co/HOTyuH0bsp",2016-12-26,2016,"['MannKiBaat', 'BlackMoney']",days modi says full stops drive,-1
3817,#MannKiBaat Court dismisses Subramanian Sw https://t.co/SYJoZ7m2eI,2016-12-26,2016,['MannKiBaat'],court dismisses subramanian,-1
3818,#MannKiBaat Court dismisses Subramanian Sw https://t.co/dyozgpyGmB,2016-12-26,2016,['MannKiBaat'],court dismisses subramanian,-1
3819,#MannKiBaat Court dismisses Subramanian Sw https://t.co/geB0wVSsp3,2016-12-26,2016,['MannKiBaat'],court dismisses subramanian,-1
3820,#MannKiBaat ~DESH.. k Saath.. @modimission2019 @narendramodi,2016-12-26,2016,['MannKiBaat'],desh saath,1
3821,#MannKiBaat: We must be at the forefront of using digital means to make... https://t.co/j7vfB1QK9b by #narendramodi_in via @c0nvey,2016-12-26,2016,"['MannKiBaat', 'narendramodi_in']",must forefront using digital means make,1
3822,@OfficeOfRG Ohh!!! Well said... Angry young man...tell them about BJP scams...then ppl understand PM's #MannKiBaat,2016-12-26,2016,['MannKiBaat'],well said angry young mantell them about scamsthen understand,-1
3823,"#MannkiBaat:5 days to Dec 30,PM Modi says ‘no full stops’ in #blackmoney drive
#Webocoin,#Buybitcoin,#Sellbitcoin
https://t.co/5ug7Uys0Jy",2016-12-26,2016,"['MannkiBaat', 'blackmoney', 'Webocoin', 'Buybitcoin', 'Sellbitcoin']",days modi says full stops drive,-1
3824,"#MannkiBaat:5 days to Dec 30,PM Modi says ‘no full stops’ in #blackmoney drive
#Webocoin,#Buybitcoin,#Sellbitcoin
https://t.co/8puT9XPZPe",2016-12-26,2016,"['MannkiBaat', 'blackmoney', 'Webocoin', 'Buybitcoin', 'Sellbitcoin']",days modi says full stops drive,-1
3825,Long lines continue at ATMs in a cash crunched country. Expect this for another 6 months. #DeMonetisation #MannKiBaat https://t.co/IVkunjlK8r,2016-12-26,2016,"['DeMonetisation', 'MannKiBaat']",long lines continue atms cash crunched country expect this another months,-1
3826,Pls listen my man ki baat. Aadhar card has no services online and call centre cant even explain they just disconnect with fear #MannKiBaat,2016-12-26,2016,['MannKiBaat'],listen baat aadhar card services online call centre cant even explain they just disconnect with fear,-1
3827,sumantghaisas: MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],sumantghaisas mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3828,sumantghaisas: MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],sumantghaisas mumbaibjp pmoindia narendramodi,1
3829,"sumantghaisas: MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],sumantghaisas mumbaibjp pmoindia narendramodi,1
3830,sumantghaisas: MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],sumantghaisas mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3831,"भक्तो अपने पापा को पाकिस्तान कब भेज रहे हो ?..!!!

PM Narendra Modi Greets Pak's Nawaz Sharif On Birthday

#mondaymotivation 
#MannKiBaat",2016-12-26,2016,"['mondaymotivation', 'MannKiBaat']",narendra modi greets paks nawaz sharif birthday,1
3832,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3833,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3834,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3835,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3836,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3837,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3838,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3839,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3840,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3841,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3842,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3843,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3844,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3845,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3846,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3847,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3848,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3849,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3850,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3851,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3852,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3853,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3854,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3855,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3856,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3857,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3858,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3859,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3860,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3861,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3862,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3863,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3864,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3865,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3866,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3867,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3868,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3869,MumbaiBJP: RT PMOIndia: We should be at the forefront of using digital means to make payments and transactions: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia should forefront using digital means make payments transactions narendramodi,-1
3870,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3871,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3872,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3873,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3874,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3875,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3876,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3877,MumbaiBJP: RT PMOIndia: We should be at the forefront of using digital means to make payments and transactions: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia should forefront using digital means make payments transactions narendramodi,-1
3878,MumbaiBJP: RT PMOIndia: Our sportsmen and sportswomen have made us proud: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia sportsmen sportswomen have made proud narendramodi,1
3879,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3880,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3881,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3882,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3883,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3884,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3885,MumbaiBJP: RT PMOIndia: We should be at the forefront of using digital means to make payments and transactions: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia should forefront using digital means make payments transactions narendramodi,-1
3886,"MumbaiBJP: RT PMOIndia: Many are writing to me- मोदी जी थक मत जाना, रुक मत जाना और जितना कठोर कदम उठा सकते हो, उठाओ: PM #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing,1
3887,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3888,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3889,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3890,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3891,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3892,sumantghaisas: MumbaiBJP: RT PMOIndia: The fight against corruption continues. #MannKiBaat https://t.co/SEB1G3I8yM,2016-12-26,2016,['MannKiBaat'],sumantghaisas mumbaibjp pmoindia fight against corruption continues,-1
3893,MumbaiBJP: RT PMOIndia: We should be at the forefront of using digital means to make payments and transactions: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia should forefront using digital means make payments transactions narendramodi,-1
3894,MumbaiBJP: RT PMOIndia: ‘Digi धन व्यापार योजना’ प्रमुख रूप से व्यापारियों के लिये है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia digi narendramodi,1
3895,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3896,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3897,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3898,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3899,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3900,MumbaiBJP: RT PMOIndia: कानून सब के लिये समान होता है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3901,"MumbaiBJP: RT PMOIndia: जो लोग अफवाहें फैला रहे हैं कि राजनैतिक दलों को सब छूट-छाट है, ये गलत है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3902,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3903,MumbaiBJP: RT PMOIndia: We should be at the forefront of using digital means to make payments and transactions: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia should forefront using digital means make payments transactions narendramodi,-1
3904,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3905,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3906,MumbaiBJP: RT PMOIndia: ‘Digi धन व्यापार योजना’ प्रमुख रूप से व्यापारियों के लिये है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia digi narendramodi,1
3907,MumbaiBJP: RT PMOIndia: We should be at the forefront of using digital means to make payments and transactions: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia should forefront using digital means make payments transactions narendramodi,-1
3908,MumbaiBJP: RT PMOIndia: ‘Digi धन व्यापार योजना’ प्रमुख रूप से व्यापारियों के लिये है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia digi narendramodi,1
3909,MumbaiBJP: RT PMOIndia: भाँति-भाँति अफवाहों के बावज़ूद भी देशवासियों के मन को कोई डुला नहीं सका है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3910,"MumbaiBJP: RT PMOIndia: I जितनी पीड़ा आपको होती है, उतनी ही पीड़ा मुझे भी होती है : PM narendramodi #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia narendramodi,1
3911,MumbaiBJP: RT PMOIndia: Many are writing that the fight against corruption has to continue: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia many writing that fight against corruption continue narendramodi,1
3912,MumbaiBJP: RT PMOIndia: We should be at the forefront of using digital means to make payments and transactions: PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia should forefront using digital means make payments transactions narendramodi,-1
3913,MumbaiBJP: RT PMOIndia: ‘Digi धन व्यापार योजना’ प्रमुख रूप से व्यापारियों के लिये है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia digi narendramodi,1
3914,MumbaiBJP: RT PMOIndia: The fight against corruption continues. #MannKiBaat https://t.co/usLyNzqGJz,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia fight against corruption continues,-1
3915,MumbaiBJP: RT PMOIndia: ‘Digi धन व्यापार योजना’ प्रमुख रूप से व्यापारियों के लिये है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia digi narendramodi,1
3916,MumbaiBJP: RT PMOIndia: ‘Digi धन व्यापार योजना’ प्रमुख रूप से व्यापारियों के लिये है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia digi narendramodi,1
3917,MumbaiBJP: RT PMOIndia: ‘Digi धन व्यापार योजना’ प्रमुख रूप से व्यापारियों के लिये है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia digi narendramodi,1
3918,MumbaiBJP: RT PMOIndia: The fight against corruption continues. #MannKiBaat https://t.co/1WGMtjsYqN,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia fight against corruption continues,-1
3919,MumbaiBJP: RT PMOIndia: The fight against corruption continues. #MannKiBaat https://t.co/9NsS45NKHp,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia fight against corruption continues,-1
3920,MumbaiBJP: RT PMOIndia: The fight against corruption continues. #MannKiBaat https://t.co/yMWeH3Z82R,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia fight against corruption continues,-1
3921,MumbaiBJP: RT PMOIndia: ‘Digi धन व्यापार योजना’ प्रमुख रूप से व्यापारियों के लिये है : PM narendramodi #MannKiBaat,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia digi narendramodi,1
3922,MumbaiBJP: RT PMOIndia: The fight against corruption continues. #MannKiBaat https://t.co/SEB1G3I8yM,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia fight against corruption continues,-1
3923,MumbaiBJP: RT PMOIndia: The fight against corruption continues. #MannKiBaat https://t.co/2nHmJoIGFK,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia fight against corruption continues,-1
3924,MumbaiBJP: RT PMOIndia: The fight against corruption continues. #MannKiBaat https://t.co/NbNdABGUv4,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia fight against corruption continues,-1
3925,MumbaiBJP: RT PMOIndia: The fight against corruption continues. #MannKiBaat https://t.co/LBKOy78YwD,2016-12-26,2016,['MannKiBaat'],mumbaibjp pmoindia fight against corruption continues,-1
3926,"Retweeted BJP (@BJP4India):

पिछले कुछ ही दिनों में बिना नगद का कारोबार, 200 से 300 प्रतिशत बढ़ा है : पीएम नरेन्द्र मोदी #MannKiBaat",2016-12-26,2016,['MannKiBaat'],retweeted,1
3927,Eagerly waiting for #MannKiBaat on forgotten #Manipur https://t.co/qmeaeFkrlv,2016-12-26,2016,"['MannKiBaat', 'Manipur']",eagerly waiting forgotten,1
3928,"@RealArnabG you are mistaken, in the telecast, he does inform about the steps. However, every day he talks about what's done. #MannKiBaat",2016-12-26,2016,['MannKiBaat'],mistaken telecast does inform about steps however every talks about whats done,1
3929,Govt to Bolster Institutions For Effective Benami Law: Official - https://t.co/3F5WIR541n - #BenamiLaw #MannKiBaat #NarendraModi,2016-12-26,2016,"['BenamiLaw', 'MannKiBaat', 'NarendraModi']",govt bolster institutions effective benami official,1
3930,"#MannKiBaat : 5 days to Dec 30, PM Modi says ‘no full stops’ in black money drive
https://t.co/C8iJUQI46W via @IndianExpress https://t.co/rkDxtIjdAV",2016-12-26,2016,['MannKiBaat'],days modi says full stops black money drive,-1
3931,"Mann ki Baat: 5 days to Dec 30, PM Modi says ‘no full stops’ in black money drive
https://t.co/ytnHYJoAoI

via NMApp #MannKiBaat https://t.co/o5maSyWSvl",2016-12-26,2016,['MannKiBaat'],mann baat days modi says full stops black money drive nmapp,-1
3932,"#NarendraModi’s #MannkiBaat touches Indian cricket team, @imVkohli’s heart https://t.co/y2EhkIg4xC https://t.co/YmcJmSWF2W",2016-12-26,2016,"['NarendraModi', 'MannkiBaat']",touches indian cricket team heart,1
3933,"PM Modi's Mann ki Baath:
https://t.co/AXs2cUSngD
#Modi #Mannkibaat https://t.co/D1MBxe9Dmv",2016-12-26,2016,"['Modi', 'Mannkibaat']",modis mann baath,-1
3934,"@PMOIndia #MannKiBaat 
Very good Sir",2016-12-26,2016,['MannKiBaat'],very good,1
